scenario_id,same_initialization,waypoints,method,iterations,stopping_reason,runtime_s,final_objective,final_penalized_objective,final_penalized_gradient_norm,maximum_sampled_constraint_violation,exact_feasible,minimum_clearance_m,condition_number,hessian_classification
0,True,5,Gradient Descent,3000,maximum_iterations,3.181619644165039,0.4363565820131996,0.4363565820131996,0.032298477094372245,0.0,False,-0.0025280341678652896,,positive semidefinite
0,True,5,Heavy-Ball,3000,maximum_iterations,3.193908929824829,0.4411064088743192,0.4411064088743192,0.02500254426087678,0.0,True,0.09295155257473753,,positive semidefinite
1,True,5,Gradient Descent,3000,maximum_iterations,3.4667751789093018,0.45327500614249666,0.45327500614249666,0.033290381525313106,0.0,True,0.013045257001427446,,positive semidefinite
1,True,5,Heavy-Ball,3000,maximum_iterations,3.442269802093506,0.4551409578056499,0.4551409578056499,0.02456425979321426,0.0,True,0.1666006395910402,,positive semidefinite
2,True,5,Gradient Descent,3000,maximum_iterations,3.230421781539917,0.3579677188588804,0.3579677188588804,0.032676096707656276,0.0,True,0.03247306163368657,,positive semidefinite
2,True,5,Heavy-Ball,3000,maximum_iterations,3.2182326316833496,0.4221058579680688,0.4221058579680688,0.06130487363013221,0.0,True,0.43577135900721364,,positive semidefinite
3,True,5,Gradient Descent,3000,maximum_iterations,4.199841260910034,0.5594415616314494,0.5594415616314494,0.038954441337532834,0.0,True,0.015974190010465517,,positive semidefinite
3,True,5,Heavy-Ball,3000,maximum_iterations,4.182319402694702,0.6104036173792553,0.6104036173792553,0.0555808710821556,0.0,True,0.16620970164406046,,positive semidefinite
4,True,5,Gradient Descent,3000,maximum_iterations,5.7702202796936035,0.41791001684750695,0.41791001684750695,0.026447396535586462,0.0,True,0.006343448435166543,,positive semidefinite
4,True,5,Heavy-Ball,3000,maximum_iterations,9.302477359771729,0.4234095299244406,0.4234095299244406,0.022750901588067685,0.0,True,0.23189212818317406,,positive semidefinite
5,True,5,Gradient Descent,3000,maximum_iterations,7.163651704788208,0.39809836679774124,0.39809836679774124,0.03496619186641931,0.0,False,-0.0007098978360686736,,positive semidefinite
5,True,5,Heavy-Ball,3000,maximum_iterations,6.865083456039429,0.41117714741775896,0.41117714741775896,0.036533732748957014,0.0,True,0.17634052376188514,,positive semidefinite
6,True,5,Gradient Descent,3000,maximum_iterations,10.039560079574585,0.4451265957016036,0.4451265957016036,0.015409325869796668,0.0,True,0.0006137510992831885,,positive semidefinite
6,True,5,Heavy-Ball,3000,maximum_iterations,10.238844394683838,0.4458959051484295,0.4458959051484295,0.010980435355013354,0.0,True,0.13005857819853706,,positive semidefinite
7,True,5,Gradient Descent,3000,maximum_iterations,8.039498329162598,0.4345176144118888,0.4345176144118888,0.019612571290136646,0.0,True,0.00510565311971467,,positive semidefinite
7,True,5,Heavy-Ball,3000,maximum_iterations,7.354749441146851,0.4632840552663908,0.4632840552663908,0.04774394121584953,0.0,True,0.6597536419891392,,positive semidefinite
8,True,5,Gradient Descent,3000,maximum_iterations,9.656818866729736,0.32008253527047253,0.32008253527047253,0.05756037596496882,0.0,True,0.004025766465328706,,positive semidefinite
8,True,5,Heavy-Ball,3000,maximum_iterations,9.361608266830444,0.5944649971189295,9.275652189021594,0.11953038387085281,0.09014307865965954,False,-0.10282316957557835,,indefinite
