method,scenario_count,mean_final_objective,median_final_objective,std_final_objective,mean_iterations,median_iterations,mean_runtime_s,median_runtime_s,mean_final_penalized_gradient_norm,median_final_penalized_gradient_norm,mean_sampled_constraint_violation,median_sampled_constraint_violation,max_sampled_constraint_violation,mean_minimum_clearance_m,median_minimum_clearance_m,exact_feasibility_rate,convergence_rate,valid_condition_number_count,mean_condition_number,condition_number_note,hessian_classification_counts
Gradient Descent,50,0.3998555399597798,0.3957539025919967,0.10330849751490952,3000.0,3000.0,5.950927062034607,6.215448975563049,461.02603997027325,0.03590540873675454,0.12457772381153628,0.0,1.2660555596656415,-0.048837045825214406,0.001610950148450252,0.6,0.0,3,686231467.4289904,"Kappa is averaged only over positive-definite Hessians; indefinite, semidefinite, and singular cases are reported without forcing a condition number.","{""positive definite"": 3, ""positive semidefinite"": 47}"
Heavy-Ball,50,0.4433626868369489,0.43408976526302,0.10964466712785237,3000.0,3000.0,5.956016840934754,6.132687926292419,560.6764463601621,0.05488903550615694,0.12111609870895199,0.0,0.9921112767447364,0.09454704642604003,0.13291884749832905,0.8,0.0,3,139882526.31498346,"Kappa is averaged only over positive-definite Hessians; indefinite, semidefinite, and singular cases are reported without forcing a condition number.","{""indefinite"": 2, ""positive definite"": 3, ""positive semidefinite"": 45}"
